Date,Open,High,Low,Close,Adj Close,Volume
2018-05-23,10974.519531,10991.860352,10886.179688,10886.179688,10886.179688,2468500
2018-05-24,10910.610352,10942.639648,10883.519531,10936.929688,10936.929688,2239900
2018-05-25,10946.620117,10977.809570,10918.120117,10942.299805,10942.299805,2219900
2018-05-28,10976.490234,10999.429688,10965.179688,10987.769531,10987.769531,2463800
2018-05-29,10979.679688,10986.530273,10929.559570,10964.120117,10964.120117,2424700
2018-05-30,10925.209961,10925.209961,10799.750000,10821.169922,10821.169922,3159000
2018-05-31,10856.030273,10909.610352,10853.650391,10874.959961,10874.959961,4494100
2018-06-01,10882.679688,10954.669922,10876.969727,10949.080078,10949.080078,2817400
2018-06-04,11002.150391,11109.500000,11002.150391,11109.500000,11109.500000,2890900
2018-06-05,11130.030273,11131.080078,11054.620117,11100.110352,11100.110352,3024000
2018-06-06,11111.139648,11207.150391,11111.139648,11201.830078,11201.830078,3038200
2018-06-07,11228.639648,11261.679688,11188.990234,11251.750000,11251.750000,3563000
2018-06-08,11243.589844,11243.589844,11122.980469,11156.419922,11156.419922,2935100
2018-06-11,11168.990234,11186.669922,11118.809570,11149.230469,11149.230469,2763200
2018-06-12,11140.019531,11160.049805,11088.530273,11144.790039,11144.790039,3009100
2018-06-13,11153.200195,11188.009766,11119.240234,11173.209961,11173.209961,3259400
2018-06-14,11143.040039,11143.040039,11013.980469,11013.980469,11013.980469,3145600
2018-06-15,10998.200195,11087.469727,10981.610352,11087.469727,11087.469727,3547100
2018-06-19,11008.769531,11008.769531,10904.190430,10904.190430,10904.190430,3158000
2018-06-20,10904.799805,10969.200195,10842.559570,10927.440430,10927.440430,3060000
2018-06-21,10949.849609,10992.309570,10941.070313,10941.070313,10941.070313,2522200
2018-06-22,10901.250000,10914.830078,10828.860352,10899.280273,10899.280273,2733900
2018-06-25,10834.070313,10851.160156,10786.459961,10786.459961,10786.459961,2393700
2018-06-26,10730.900391,10752.990234,10651.419922,10742.169922,10742.169922,2616000
2018-06-27,10766.879883,10800.339844,10701.030273,10701.030273,10701.030273,2357900
2018-06-28,10669.419922,10723.839844,10633.009766,10654.280273,10654.280273,2259600
2018-06-29,10667.639648,10836.910156,10667.639648,10836.910156,10836.910156,2256100
2018-07-02,10852.169922,10886.200195,10777.940430,10777.940430,10777.940430,2244500
2018-07-03,10802.879883,10873.480469,10707.679688,10715.719727,10715.719727,2685900
2018-07-04,10714.250000,10752.049805,10680.440430,10721.870117,10721.870117,2081200
2018-07-05,10690.910156,10709.799805,10585.269531,10611.809570,10611.809570,2075800
2018-07-06,10645.660156,10665.719727,10523.580078,10608.570313,10608.570313,2613100
2018-07-09,10638.900391,10746.740234,10638.900391,10720.280273,10720.280273,2329300
2018-07-10,10737.620117,10776.469727,10728.240234,10756.889648,10756.889648,2427500
2018-07-11,10693.639648,10693.639648,10635.030273,10676.839844,10676.839844,2140700
2018-07-12,10644.910156,10752.570313,10643.650391,10738.379883,10738.379883,2053500
2018-07-13,10769.700195,10864.540039,10769.700195,10864.540039,10864.540039,2134000
